 category_name , category_name_ar ,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax, cap_aqaba , cap_amm , min_side_length 
 Toys , ????? ,35.00%,0.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" Trays, dishes, plates, cups and the like ",? ????? ?????? ?????? ??? ???????,25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
" T-shirts, singlets and other vests, knitted or crocheted. ","????? ?? ??? ""?? ????"" ?????? ????? ?????? ?? ?????? ??? ??????? ? ?? ?????? ?? ??????",25.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 TV  , ???? ?????  ,25.00%,7.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 US Made Cosmetics , ?????? ????????? ?????|????? ????? ,0.00%,7.00%,16.00%,16.00%,16.00%,5.00%,0.00%, 999.00 , 999.00 , 1.00 
 US Made Products , ?????? ?????????  ,0.00%,7.00%,16.00%,10.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Vitamins , ??????? ,15.00%,0.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Watch (Mechanical display only) , ???? ??? ????????? ,15.00%,7.00%,16.00%,9.00%,10.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
 Watch/Sports watches/wearable gear , ???? / ????? ??????? / ???? ???????? ??????? ,35.00%,7.00%,16.00%,8.00%,9.00%,0.00%,0.00%, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
,,,,,,,,, 999.00 , 999.00 , 1.00 
