 category_name , category_name_ar ,,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax,cap_aqaba,cap_amm, min_side_length 
 Rangefinders ,? ?????? ???????," {""category_name"" : ""Rangefinders"",""category_name_ar"" : ""? ?????? ???????""}, ",0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Real Jewelry , ??????? ??? ???? ?????? ," {""category_name"" : ""Real Jewelry"",""category_name_ar"" : ""??????? ??? ???? ??????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Scanner , ???? ???? ," {""category_name"" : ""Scanner"",""category_name_ar"" : ""???? ????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Seeds (for planting) , ???? ??????? ," {""category_name"" : ""Seeds (for planting)"",""category_name_ar"" : ""???? ???????""}, ",0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Shampoos , ????? ," {""category_name"" : ""Shampoos"",""category_name_ar"" : ""?????""}, ",0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Shoes , ?????  ," {""category_name"" : ""Shoes"",""category_name_ar"" : ""????? ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,1.37, 1.00 
 Software , ??????? ," {""category_name"" : ""Software"",""category_name_ar"" : ""???????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Sound recording or reproducing apparatus .  ,????? ????? ?? ????? ?????," {""category_name"" : ""Sound recording or reproducing apparatus . "",""category_name_ar"" : ""????? ????? ?? ????? ?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Spare Parts , ??? ???? ," {""category_name"" : ""Spare Parts"",""category_name_ar"" : ""??? ????""}, ",0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Speaker , ?????? ," {""category_name"" : ""Speaker"",""category_name_ar"" : ""??????""}, ",0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 5.00 
 Sporting Goods  , ????? ????????  ," {""category_name"" : ""Sporting Goods "",""category_name_ar"" : ""????? ???????? ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Sunglasses ,? ?????? ?????," {""category_name"" : ""Sunglasses"",""category_name_ar"" : ""? ?????? ?????""}, ",0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Tablet , ??? ???? ," {""category_name"" : ""Tablet"",""category_name_ar"" : ""??? ????""}, ",0.00,0.07,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Tools , ??? ?????? ," {""category_name"" : ""Tools"",""category_name_ar"" : ""??? ??????""}, ",0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 ToothBrush , ????? ???????  ," {""category_name"" : ""ToothBrush"",""category_name_ar"" : ""????? ??????? ""}, ",0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Toys , ????? ," {""category_name"" : ""Toys"",""category_name_ar"" : ""?????""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
" Trays, dishes, plates, cups and the like ",? ????? ?????? ?????? ??? ???????," {""category_name"" : ""Trays, dishes, plates, cups and the like"",""category_name_ar"" : ""? ????? ?????? ?????? ??? ???????""}, ",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
" T-shirts, singlets and other vests, knitted or crocheted. ","????? ?? ??? ?? ???? ?????? ????? ?????? ?? ?????? ??? ??????? ? ?? ?????? ?? ??????"," {""category_name"" : ""T-shirts, singlets and other vests, knitted or crocheted."",""category_name_ar"" : ""????? ?? ??? ?? ???? ?????? ????? ?????? ?? ?????? ??? ??????? ? ?? ?????? ?? ??????""}, ",0.25,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 TV  , ???? ?????  ," {""category_name"" : ""TV "",""category_name_ar"" : ""???? ????? ""}, ",0.25,0.07,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 US Made Cosmetics , ?????? ????????? ?????|????? ????? ," {""category_name"" : ""US Made Cosmetics"",""category_name_ar"" : ""?????? ????????? ?????|????? ?????""}, ",0.00,0.07,0.16,0.16,0.16,0.05,0.00,999.00,999.00, 1.00 
 US Made Products , ?????? ?????????  ," {""category_name"" : ""US Made Products"",""category_name_ar"" : ""?????? ????????? ""}, ",0.00,0.07,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Vitamins , ??????? ," {""category_name"" : ""Vitamins"",""category_name_ar"" : ""???????""}, ",0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
