 category_name , category_name_ar ,,customs,tax_aqaba,tax_amm,margin_amm,margin_aqaba,special_tax,us_tax,cap_aqaba,cap_amm, min_side_length 
 Medical Apparatus 9022 , ????? ????  ," {""category_name"" : ""Medical Apparatus 9022"",""category_name_ar"" : ""????? ???? ""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Memory , ?????  ," {""category_name"" : ""Memory"",""category_name_ar"" : ""????? ""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 microphone and one or more loudspeakers ,???? ????? ?? ????? ???  ???????  ????? ?? ???? ?? ?????? ????? ," {""category_name"" : ""microphone and one or more loudspeakers"",""category_name_ar"" : ""???? ????? ?? ????? ???  ???????  ????? ?? ???? ?? ?????? ????? ""}, ",0.35,0.07,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 5.00 
 Microscope , ????  ," {""category_name"" : ""Microscope"",""category_name_ar"" : ""???? ""}, ",0.15,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Mobile Accessory , ?????? ?????? ??????  ," {""category_name"" : ""Mobile Accessory"",""category_name_ar"" : ""?????? ?????? ?????? ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Mobile Phone , ?????? ???????  ," {""category_name"" : ""Mobile Phone"",""category_name_ar"" : ""?????? ??????? ""}, ",0.00,0.07,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Monitor  , ???? ???????  ," {""category_name"" : ""Monitor "",""category_name_ar"" : ""???? ??????? ""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 7.00 
 Motherboard ,? ????? ?????? ?????? ???????? ??????? ?? ????????," {""category_name"" : ""Motherboard"",""category_name_ar"" : ""? ????? ?????? ?????? ???????? ??????? ?? ????????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 3.00 
 Mouse Pad , ???? ???  ," {""category_name"" : ""Mouse Pad"",""category_name_ar"" : ""???? ??? ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Mouse/Keyboard , ?????? / ???? ????????  ," {""category_name"" : ""Mouse/Keyboard"",""category_name_ar"" : ""?????? / ???? ???????? ""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 3.00 
 Musical Instruments , ????? ????????  ," {""category_name"" : ""Musical Instruments"",""category_name_ar"" : ""????? ???????? ""}, ",0.35,0.00,0.16,0.08,0.09,0.05,0.00,999.00,999.00, 1.00 
 Neck Tie , ????? ??? ," {""category_name"" : ""Neck Tie"",""category_name_ar"" : ""????? ???""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Network Router/Adapter ,????? ????????? ?? ???? ????? ?? ??????? ," {""category_name"" : ""Network Router/Adapter"",""category_name_ar"" : ""????? ????????? ?? ???? ????? ?? ??????? ""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
 Notebook , ?????? ," {""category_name"" : ""Notebook"",""category_name_ar"" : ""??????""}, ",0.00,0.07,0.16,0.10,0.10,0.00,0.09,999.00,999.00, 4.00 
 Office Equipment  ,  ????? ????    ," {""category_name"" : ""Office Equipment "",""category_name_ar"" : "" ????? ????   ""}, ",0.35,0.00,0.16,0.08,0.09,0.00,0.00,999.00,999.00, 1.00 
 Office or school supplies , ??????? ," {""category_name"" : ""Office or school supplies"",""category_name_ar"" : ""???????""}, ",0.12,0.00,0.16,0.09,0.10,0.00,0.00,999.00,999.00, 1.00 
 Pasta (Other - not stuffed) , ??????? ??? ????? ," {""category_name"" : ""Pasta (Other - not stuffed)"",""category_name_ar"" : ""??????? ??? ?????""}, ",0.00,0.00,0.16,0.10,0.10,0.00,0.00,999.00,999.00, 1.00 
